t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
21.28,220.00323486328125,-211.987548828125,-5.017882823944092,219.62654803603527,-212.05821814045134,-5.032566426354264,0.3835397315859965,0.6736132146348306,0.1586885995599966,0.0003376258482644548,8.555419343771096,12.854566651379981,nan,nan,False,True,True,True
21.29,220.00323486328125,-211.9788360595703,-5.017882823944092,219.6264929181118,-212.04898356764735,-5.03285086446026,0.3835090720913488,0.6738662408106254,0.15883644812929687,0.0004388234494269805,8.258556692118562,12.694044628201645,nan,nan,False,True,True,True
21.3,220.00323486328125,-211.97010803222656,-5.017882823944092,219.6536357161717,-212.05284573663738,-5.035995879884866,0.3597126272268124,0.6737855601601618,0.15890552187258897,0.00033761786356158874,8.547353925910475,12.6858157525986,nan,nan,False,True,True,True
21.31,220.00323486328125,-211.9613800048828,-5.017882823944092,219.65364605382962,-212.04364432702232,-5.036285791394705,0.35960870901838626,0.6740377780523923,0.15905359990420978,0.0004388099008652608,8.190268367386762,12.31990382384026,nan,nan,False,True,True,True
21.32,220.00323486328125,-211.95265197753906,-5.017882823944092,219.6536564918043,-212.03444275256956,-5.034898752770968,0.3594221897969135,0.6742904174410775,0.1592020367076899,0.00033762317523153604,8.12397480041318,12.24593519306823,nan,nan,False,True,True,True
21.330000000000002,220.00323486328125,-211.94393920898438,-5.017882823944092,219.6536668161701,-212.02524107798612,-5.035187824551972,0.35931501013778744,0.674543479294219,0.15935083325103064,0.0004388189214769367,7.80066913452038,12.05361399606339,nan,nan,False,True,True,True
21.34,220.00323486328125,-211.93521118164062,-5.017882823944092,219.65367691228343,-212.01603941888433,-5.034070312096317,0.3591462095225255,0.6747969645798155,0.15949999050223096,0.0003376285267314142,7.751667476353555,11.85230140006652,nan,nan,False,True,True,True
21.35,220.00323486328125,-211.92648315429688,-5.017882823944092,219.66205125141948,-212.01159560195657,-5.03434845020994,0.3520248607669509,0.67471575038674,0.15956961367930392,0.0004388054216172608,7.495274598275054,11.457093528283995,nan,nan,False,True,True,True
21.36,220.00323486328125,-211.91775512695312,-5.017882823944092,219.66207759059412,-212.00241429708092,-5.038155455615024,0.35208868114284875,0.6749684235477722,0.15971899176742355,0.0003376205120492017,7.960497297287966,11.915687656783792,nan,nan,False,True,True,True
21.37,220.00323486328125,-211.90904235839844,-5.017882823944092,219.66210392984308,-211.99323275699842,-5.03844946664363,0.3519677879533143,0.6752215185869529,0.1598687302118599,0.00043881440312831837,7.576129669560449,11.662490354176397,nan,nan,False,True,True,True
21.38,220.00323486328125,-211.9003143310547,-5.017882823944092,219.6621303916213,-211.98405118618228,-5.019756708221744,0.3512372886459485,0.6754750364722808,0.16001882998061184,0.00033762584785961377,6.496227983360182,10.433215476119031,nan,nan,False,True,True,True
21.39,220.00323486328125,-211.89158630371094,-5.017882823944092,219.66215667318937,-211.97486977013213,-5.0200230889409685,0.35110546602087805,0.6757289781717577,0.1601692920416809,0.00043882344874527897,6.373581244287408,10.297827241285992,nan,nan,False,True,True,True
21.400000000000002,220.00323486328125,-211.88287353515625,-5.017882823944092,219.67723851467417,-211.97508994618573,-5.036455838030023,0.33929698292283983,0.6756472258965197,0.16023941600907396,0.00033761786316539963,7.369840554201181,11.179869122978513,nan,nan,False,True,True,True
21.41,220.00323486328125,-211.8741455078125,-5.017882823944092,219.67729045148823,-211.96595510738112,-5.0367658804668105,0.33915384706013074,0.6759003516237758,0.16039009015406636,0.0004388099001981057,7.0446863237898025,10.71723184218296,nan,nan,False,True,True,True
21.42,220.00323486328125,-211.86541748046875,-5.017882823944092,219.6773422486908,-211.95682011540117,-5.048609010254238,0.3398595834199181,0.6761538996043873,0.1605411262131874,0.00033762317483783074,8.91563922311608,12.579146419746287,nan,nan,False,True,True,True
21.43,220.00323486328125,-211.856689453125,-5.017882823944092,219.67739382757708,-211.94768517748616,-5.0489386188095065,0.339730871125224,0.6764078708063556,0.16069252515443835,0.0004388189208139163,8.207529466202558,11.861347608486204,nan,nan,False,True,True,True
21.44,220.00323486328125,-211.8479766845703,-5.017882823944092,219.6774451289083,-211.93855013568185,-5.028476167929571,0.33831157237944637,0.6766622661976796,0.16084428794581834,0.00033762852634017286,6.234646429990711,10.011854544948084,nan,nan,False,True,True,True
21.45,220.00323486328125,-211.83924865722656,-5.017882823944092,219.62105816035137,-211.90411704501545,-5.028800007535573,0.38779649933213145,0.6765799713314361,0.16091486435037877,0.0004388054209683928,6.194676458387976,9.922264914672297,nan,nan,False,True,True,True
21.46,220.00323486328125,-211.8305206298828,-5.017882823944092,219.62096503960598,-211.8949374045293,-5.026628431046661,0.3877579458788322,0.676833546897259,0.16106683035082542,0.00033762051166631225,6.048553844857598,9.769771753103687,nan,nan,False,True,True,True
21.47,220.00323486328125,-211.82179260253906,-5.017882823944092,219.6208717630945,-211.88575778100636,-5.02693190219241,0.38778211699087045,0.6770875450852392,0.16121915979687532,0.0004388144024835217,5.910214292536214,9.620811645292937,nan,nan,False,True,True,True
21.48,220.00323486328125,-211.81307983398438,-5.017882823944092,219.62077843782384,-211.87657830504344,-5.039828090280832,0.3883124617045984,0.6773419668633758,0.1613718536565276,0.00033762584747912657,7.05349683156455,10.889209855975029,nan,nan,False,True,True,True
