t,p_true_x,p_true_y,p_true_z,v_true_x,v_true_y,v_true_z,v_body_x,v_body_y,v_body_z,vW1_x,vW1_y,vW1_z,vW2_x,vW2_y,vW2_z,err_norm_W1,err_norm_W2,cos_W1,cos_W2
19.27,232.5984649658203,-232.85545349121094,-4.994628429412842,0.80108642578125,0.2227783203125,0.0,1.18647301197052,0.9129043817520142,0.28743427991867065,1.3817586873015997,0.5760690048817524,0.28743427991856474,0.9109312534176129,1.187988560494483,0.28743427991883413,0.7379790297663426,1.0130721391801683,0.9745510767436217,0.7845305699953018
19.28,232.60646057128906,-232.85321044921875,-4.994628429412842,0.799560546875,0.22430419921875,0.0,1.0657458305358887,0.23780594766139984,0.10228771716356277,1.0910302316598761,-0.04493264910474056,0.10228771716356479,0.9684380884339846,0.5044735654340011,0.10228771716361044,0.40976314466566505,0.3427495804388458,0.9467555237122144,0.9744404315296632
19.29,232.6144561767578,-232.85093688964844,-4.994628429412842,0.799560546875,0.22735595703125,0.0,0.5539918541908264,-0.22735515236854553,0.10258731245994568,0.47671474097499966,-0.3624091320549721,0.10258731246000746,0.5938652081128911,-0.0769508794800428,0.10258731245990856,0.6801297165760861,0.38136253068925946,0.591577898237392,0.9055563752916486
19.3,232.62246704101562,-232.84861755371094,-4.994628429412842,0.80108642578125,0.23193359375,0.0,0.9351596832275391,1.284636378288269,-0.034298595041036606,1.2344350032273714,1.000492127777954,-0.03429859504122753,0.5728060153967811,1.482129395047514,-0.034298595040796194,0.8829776913510198,1.271329178839614,0.9211250055839783,0.6055316065682332
19.31,232.63046264648438,-232.84628295898438,-4.994628429412842,0.799560546875,0.23345947265625,0.0,1.0679727792739868,0.0307096466422081,-0.10330528765916824,1.0398940401426304,-0.2452128175442891,-0.10330528765913162,1.0240851987452322,0.3045627132843176,-0.10330528765915369,0.5454899924383465,0.2571749843659028,0.8659278789366637,0.9953456622161401
19.32,232.63845825195312,-232.84393310546875,-4.994628429412842,0.799560546875,0.2349853515625,0.0,0.7231522798538208,0.24521169066429138,-0.09168101847171783,0.7618960566205057,0.05091575224343603,-0.09168101847173428,0.6357269338918643,0.42300033149496913,-0.09168101847166552,0.20905893993710511,0.26570000860014387,0.9691296246959176,0.9481517039254994
19.330000000000002,232.64645385742188,-232.84153747558594,-4.994628429412842,0.799560546875,0.23956298828125,0.0,0.4014820158481598,0.6132276058197021,0.10100849717855453,0.5456656510554058,0.4893719660762073,0.10100849717845646,0.2302987097147668,0.6958436808843506,0.10100849717867463,0.370229469400336,0.7365146476423284,0.896299120825482,0.568090608707343
19.34,232.6544647216797,-232.839111328125,-4.994628429412842,0.80108642578125,0.24261474609375,0.0,0.845209538936615,0.4772341847419739,0.13378433883190155,0.9394707498131251,0.24398013540804703,0.13378433883184446,0.6941669180266244,0.6784275098678855,0.13378433883200244,0.19248463508138086,0.4682550539221738,0.9898424481782807,0.8787536630930957
19.35,232.66246032714844,-232.836669921875,-4.994628429412842,0.799560546875,0.244140625,0.0,1.281965970993042,0.47593817114830017,0.08300265669822693,1.3612053440316982,0.13066693616582034,0.08300265669818523,1.1166948523693718,0.7892695632793264,0.08300265669833501,0.5789737448708548,0.6361046832793521,0.9781367184416525,0.9478310675765081
19.36,232.6704559326172,-232.83419799804688,-4.994628429412842,0.799560546875,0.2471923828125,0.0,1.5528504848480225,-0.044909145683050156,-0.30463171005249023,1.4892715714601328,-0.44207659211645234,-0.3046317100524218,1.5123311665921786,0.3552688691829539,-0.3046317100524793,1.0215642397829638,0.7826384618760386,0.8162861665962906,0.978968483208991
19.37,232.67845153808594,-232.83169555664062,-4.994628429412842,0.799560546875,0.250244140625,0.0,0.15380315482616425,1.0156036615371704,-0.015720011666417122,0.4092550408325415,0.9421340458990457,-0.015720011666611782,-0.11194790028638095,1.0210650892624002,-0.015720011666211276,0.7945420994723854,1.1938424112384345,0.6541184559195231,0.1928778708034462
19.38,232.68646240234375,-232.82916259765625,-4.994628429412842,0.80108642578125,0.2532958984375,0.0,1.245456337928772,1.0812628269195557,-0.089616559445858,1.4811001047787529,0.7256950640260481,-0.08961655944602652,0.9265057766589601,1.3645064646769,-0.08961655944562094,0.8328329382291617,1.1218511772171675,0.9874117704136388,0.7838702715861555
19.39,232.6944580078125,-232.82659912109375,-4.994628429412842,0.799560546875,0.25634765625,0.0,0.952540934085846,1.4427850246429443,0.09840817749500275,1.2905253466779756,1.1504379014288275,0.09840817749474635,0.5509148658004898,1.6387360513829523,0.0984081774953138,1.024757517936487,1.40801509903595,0.9125010736440688,0.5918729703716722
19.400000000000002,232.70245361328125,-232.82400512695312,-4.994628429412842,0.799560546875,0.2593994140625,0.0,0.6259069442749023,-0.004268629942089319,0.008846191689372063,0.6039283878354481,-0.16446338139378172,0.008846191689396286,0.6061153586570404,0.15621099018010132,0.008846191689381534,0.4669152665419024,0.21942458106470367,0.8366040534899639,0.998011142650142
19.41,232.71046447753906,-232.82139587402344,-4.994628429412842,0.80108642578125,0.26092529296875,0.0,0.8994824886322021,0.12235251814126968,-0.0017253682017326355,0.9008288166470704,-0.11201051766005268,-0.0017253682017251638,0.838179511149555,0.34855992319445883,-0.0017253682016907322,0.3860474585856301,0.09517721519548936,0.9053520365052069,0.9968619142220954
19.42,232.7184600830078,-232.81874084472656,-4.994628429412842,0.799560546875,0.2655029296875,0.0,0.37581247091293335,0.7886900901794434,-0.07861479371786118,0.5651036872425464,0.666276874020297,-0.07861479371801415,0.16150071400254687,0.8585945315258534,-0.07861479371768562,0.47092468535436305,0.8746761025017668,0.8507701887468104,0.483194945823101
19.43,232.72645568847656,-232.81607055664062,-4.994628429412842,0.799560546875,0.26702880859375,0.0,1.008074164390564,0.2902410626411438,0.04414817690849304,1.0487769473145976,0.022810131670218288,0.04414817690846726,0.9003382267747335,0.5383720504757447,0.04414817690857589,0.35171101479864336,0.29280088320453324,0.9543210321275638,0.9757700695084972
19.44,232.7344512939453,-232.81336975097656,-4.994628429412842,0.799560546875,0.27008056640625,0.0,1.4448763132095337,0.3286898136138916,0.2017887383699417,1.4808964963062337,-0.05147894929247893,0.201788738369922,1.3128959444219748,0.6870289325149402,0.201788738370044,0.7799601868407685,0.6914317502894926,0.9271627825806042,0.9787676680042591
19.45,232.74246215820312,-232.81063842773438,-4.994628429412842,0.80108642578125,0.27313232421875,0.0,0.23150235414505005,-0.4254724383354187,0.2969808280467987,0.11515746869613713,-0.47048791668399664,0.29698082804690024,0.3324915054363639,-0.35223503680770146,0.2969808280467096,1.0543563008184433,0.8359803513465657,-0.07539141357260166,0.3538241397174583
19.46,232.75045776367188,-232.80787658691406,-4.994628429412842,0.799560546875,0.27618408203125,0.0,0.6840375661849976,0.5333667993545532,-0.12867063283920288,0.7975183134747155,0.34110420676218883,-0.128670632839297,0.5252419623639665,0.690295893925587,-0.12867063283906824,0.14413509311617026,0.5131231921417644,0.9866434016129373,0.8231712886998422
19.47,232.75845336914062,-232.8050994873047,-4.994628429412842,0.799560546875,0.2777099609375,0.0,0.6509376168251038,0.9072467684745789,0.010310271754860878,0.8608254743832264,0.7111933931457225,0.010310271754679658,0.39798351743346,1.0432764061611457,0.010310271755081708,0.43791275277761005,0.8645590750961581,0.9371863986508825,0.6432165821235205
19.48,232.76644897460938,-232.80227661132812,-4.994628429412842,0.799560546875,0.28228759765625,0.0,0.7836911678314209,0.5279238224029541,0.08181434124708176,0.892376606237095,0.3107078564100806,0.08181434124698894,0.6232245755743719,0.7102580571836468,0.08181434124722184,0.1269492749755641,0.4700496520968226,0.996263230758931,0.8689164121638755
19.490000000000002,232.7744598388672,-232.7994384765625,-4.994628429412842,0.80108642578125,0.2838134765625,0.0,1.3165364265441895,0.037999484688043594,0.13151273131370544,1.2827807674174052,-0.2986395744884925,0.13151273131374266,1.2634201625859542,0.37213114016155013,0.13151273131374733,0.7671874568451309,0.48872087369888184,0.8381537464348772,0.9935989626033734
19.5,232.78245544433594,-232.79656982421875,-4.994628429412842,0.799560546875,0.286865234375,0.0,0.5967076420783997,0.7259708642959595,-0.07793128490447998,0.7618639539964904,0.5501427133254365,-0.07793128490462936,0.3922308052123933,0.8539605874200107,-0.07793128490429357,0.2771449967147741,0.7025581421170817,0.9575107169287207,0.6973517038145917
19.51,232.7904510498047,-232.79367065429688,-4.994628429412842,0.799560546875,0.2899169921875,0.0,0.672170102596283,0.10033921897411346,-0.2552422881126404,0.6755808983997343,-0.0739665730475444,-0.25524228811264127,0.6245270209338767,0.26804216894822563,-0.2552422881125981,0.46144428474648364,0.3102641918367086,0.8401267045639711,0.9346038166963426
19.52,232.79844665527344,-232.79075622558594,-4.994628429412842,0.799560546875,0.29144287109375,0.0,1.079454779624939,0.2584884762763977,-0.08676882833242416,1.109703455778557,-0.024436377989533953,-0.08676882833244966,0.978271453701107,0.5244271724554922,-0.08676882833233168,0.45110658775367657,0.30618311917836727,0.9289303012001062,0.9868459050844028
19.53,232.80645751953125,-232.7877960205078,-4.994628429412842,0.80108642578125,0.2960205078125,0.0,0.38192978501319885,0.2989453971385956,0.01865251548588276,0.4453471411861504,0.1921057892841241,0.01865251548582307,0.2934500350345652,0.3861680817692736,0.018652515485966498,0.37107495693594544,0.5159158910467548,0.9978430155031712,0.8428786262818385
