k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
304,2-3,53705003.16587357,-33.64572155932498,2,0-1-3,10.79982220215543,-1.5053403110449874,3
306,0-3,17783289.109950922,-32.03905469588011,2,0-1-3,10.789980503983298,-1.5037755740807137,3
308,0-3,8803828.238098616,-30.63499396300036,2,0-1-3,10.778994009124236,-1.5017684567873806,3
310,2-3,16270880.244083837,-31.253442760331613,2,0-1-3,10.766896359671318,-1.4993241167873697,3
312,1-3,26351696.633888837,-31.462337765728698,2,0-1-3,10.753723366211737,-1.496448444130761,3
314,0-2,68114253.06950693,-35.961970464122395,2,0-1-3,10.739512949878385,-1.4931480619439643,3
316,1-3,25611346.13815214,-31.404945827817862,2,0-1-3,10.72430508550327,-1.489430328249103,3
318,2-3,23269091.53825803,-31.96036906305268,2,0-1-3,10.708141745790192,-1.4853033388831456,3
320,2-3,50016677.34550492,-33.48813407840919,2,0-1-3,10.691066846348198,-1.4807759314189566,3
322,0-3,15393689.753612744,-31.760441277797064,2,0-1-3,10.673126191425741,-1.4758576899827522,3
324,0-3,15955441.61980612,-31.832279619597962,2,0-1-3,10.65436742011605,-1.470558950837506,3
326,0-3,18024138.261467595,-32.07601186948939,2,0-1-3,10.634839952820611,-1.4648908085947365,3
328,0-3,18047784.936936572,-32.0782977013537,2,0-1-3,10.61459493768841,-1.4588651228924316,3
330,1-2,67421576.73373199,-35.117924518757725,2,0-1-3,10.593685196718418,-1.4524945253566512,3
332,1-3,23173268.321449116,-31.194009218483828,2,0-1-3,10.572165171198256,-1.4457924266490338,3
334,1-3,22187397.464904625,-31.104676974874128,2,0-1-3,10.550090866149647,-1.438773023391228,3
336,,inf,-inf,0,0-1-3,10.527519793334287,-1.4314513047120032,3
338,0-3,21291921.604110558,-32.40361478891819,2,0-1-3,10.504510912489147,-1.42384305818224,3
340,1-3,36234703.99726981,-32.07721281767404,2,0-1-3,10.481124570298185,-1.4159648748429716,3
342,0-3,42673746.37052938,-33.79037849837708,2,0-1-3,10.457422436662961,-1.407834153035501,3
344,0-3,13858544.575297486,-31.538806811353187,2,0-1-3,10.43346743783736,-1.3994691007257476,3
346,2-3,17072950.788408693,-31.28602888879825,2,0-1-3,10.409323685846738,-1.3908887359641944,3
348,2-3,13607659.060330966,-30.827189973075242,2,0-1-3,10.385056403805518,-1.3821128851584144,3
350,2-3,21979000.71694365,-31.78087487960815,2,0-1-3,10.36073184650351,-1.3731621787573571,3
352,0-1,67325654.13976331,-34.01259167946788,2,0-1-3,10.33641721580349,-1.3640580439780363,3
354,2-3,12200041.370177504,-30.59284027178764,2,0-1-3,10.312180570294466,-1.3548226941693926,3
356,1-3,48617528.64720484,-32.63393722671503,2,0-1-3,10.288090728679833,-1.345479114404708,3
358,0-3,15171480.176735481,-31.698712030169126,2,0-1-3,10.26421716637036,-1.3360510428849999,3
360,2-3,53170235.84698811,-33.52029967230437,2,0-1-3,10.240629904764313,-1.3265629477321745,3
362,0-3,12944596.921046723,-31.373600302068112,2,0-1-3,10.217399392732935,-1.3170399987590131,3
364,1-2,67527324.4161638,-35.087560401295896,2,0-1-3,10.19459637984178,-1.3075080338060938,3
366,1-3,24306919.70253682,-31.22283632719663,2,0-1-3,10.172291780856488,-1.2979935192466017,3
368,,inf,-inf,0,0-1-3,10.150556531160749,-1.2885235042911054,3
370,1-3,38430391.60491503,-32.12838433176311,2,0-1-3,10.12946143275152,-1.2791255687487082,3
372,,inf,-inf,0,0-1-3,10.109076990522407,-1.2698277639351394,3
374,2-3,70392176.58308195,-34.04180149930167,2,0-1-3,10.089473238638929,-1.2606585464709488,3
376,2-3,33191443.646677285,-32.53266805718748,2,0-1-3,10.070719556924251,-1.2516467047748403,3
378,0-3,16800877.07979353,-31.859658664683703,2,0-1-3,10.052884477199619,-1.2428212781084484,3
380,1-3,38422442.46010823,-32.10037841809133,2,0-1-3,10.036035479719708,-1.2342114681258725,3
382,2-3,14695527.61295149,-30.8870056900026,2,0-1-3,10.020238779895303,-1.2258465429510523,3
384,0-3,11219454.58228609,-31.037624567376447,2,0-1-3,10.005559105686325,-1.2177557339182687,3
386,1-3,44359359.298228554,-32.37106943578763,2,0-1-3,9.99205946617521,-1.2099681252120416,3
388,1-3,19836972.639165256,-30.75603444109137,2,0-1-3,9.979800911948281,-1.2025125367460712,3
390,1-3,24293800.523503955,-31.15596445303007,2,0-1-3,9.968842288182731,-1.1954174007730538,3
392,1-3,29034899.77287231,-31.507183844819004,2,0-1-3,9.959239981389368,-1.1887106328085082,3
394,0-3,14153136.934435915,-31.478085330924657,2,0-1-3,9.951047661046397,-1.1824194976128206,3
396,2-3,22945709.094414398,-31.74531975340639,2,0-1-3,9.944316017457274,-1.1765704710830862,3
398,2-3,31648642.584789015,-32.38452902608607,2,0-1-3,9.93909249743701,-1.1711890990604394,3
