k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
280,220.98361058757231,-185.54598717625024,-31.486666666666665,3.2648158564246224,3.9028901389923503,2,3.5489878687442014,1.6239570636412222,0-1-3,2.9634282007650294,3.9301129735687215,2,3.57224765959382,1.6385465033192244,1-3,2.470932785234206,4.105517956112574,2,3.7366878033520248,1.7007180684178633
282,220.26263497349277,-184.48561880283367,-31.68,3.262369194086704,3.9076018695041674,2,3.5567123341268174,1.6183787389923994,0-1-3,2.960711027096966,3.9353918252552083,2,3.5805048059166658,1.6331852782501985,1-3,2.4675893246190346,4.112322667433441,2,3.7464827458064742,1.6956015913124387
284,219.48803058145262,-183.46124962228498,-31.87333333333333,3.260128482237164,3.9119149552165733,2,3.5641629776982833,1.6123960075775405,0-1-3,2.95818940202782,3.9402910721616236,2,3.5885069853849028,1.6274247599199025,1-3,2.4644214255096744,4.118775716021062,2,3.756054190762658,1.6900799729418405
286,218.66159686198813,-182.47559408822556,-32.06666666666666,3.258097997765984,3.915819617845126,2,3.5713208521085336,1.6060232410508657,0-1-3,2.955868013856181,3.9447999629509054,2,3.596234411290951,1.6212787566437463,1-3,2.461435020612112,4.124863108069899,2,3.765379140159715,1.6841661412004905
288,217.78527076104032,-181.53127660187405,-32.26,3.256281619504943,3.9193069518854293,2,3.5781676665078543,1.599275815316167,0-1-3,2.9537511833845196,3.948908543638985,2,3.6036678765170875,1.6147620635201314,1-3,2.4586357183554917,4.130571542089484,2,3.774435056482089,1.6778740324346604
290,216.86112220773592,-180.63082454269687,-32.45333333333333,3.254682831158246,3.922368931522507,2,3.584685829765925,1.5921700715841869,0-1-3,2.951842867897356,3.952607663205479,2,3.610788794668006,1.6078904252251294,1-3,2.456028806631241,4.135888417405061,2,3.7831999061735018,1.671218558763082
292,215.89134924868338,-179.77666152544617,-32.64666666666666,3.2533047240778643,3.9249984166886542,2,3.5908584923035916,1.58472327529434,0-1-3,2.9501466648535652,3.955888978796462,2,3.617579240269582,1.6006804968306028,1-3,2.4536192561930377,4.140801842739496,2,3.7916522027009627,1.6642155733521236
294,214.87827284015762,-178.97110090152535,-32.84,3.2521499998087937,3.927189158368421,2,3.596669586462016,1.5769535730089246,0-1-3,2.9486658152121406,3.9587449606338185,2,3.624021987982598,1.5931498027374293,1-3,2.451411723620318,4.145300645021602,2,3.799771049254094,1.6568818337066016
296,213.82433131045812,-178.216339522048,-33.03333333333333,3.2512209723329333,3.9289358032493675,2,3.6021038653441777,1.5688799473915411,0-1-3,2.947403206301387,3.9611688967695544,2,3.630100550812137,1.5853166938274346,1-3,2.4494105537378563,4.149374378591452,2,3.807536181097457,1.6492349630495327
298,212.73207450560787,-177.51445177933945,-33.22666666666667,3.2505195699467393,3.930233897810564,2,3.6071469400683425,1.5605221703823402,0-1-3,2.9463613741669636,3.963154897777605,2,3.6357992172620004,1.5772003029214912,1-3,2.4476197814111194,4.15301333492029,2,3.8149280075545824,1.6412934098452274
300,211.60415763241002,-176.8673839429653,-33.42,3.2500473367199474,3.9310798919225105,2,3.6117853153674746,1.5519007546790382,0-1-3,2.945542505327121,3.9646979014934725,2,3.6411030874104235,1.5688204986412642,1-3,2.446043132625066,4.156208552990111,2,3.8219276536370272,1.6330764055342673
302,210.44333481369813,-176.27694880566582,-33.61333333333333,3.249805433487462,3.931471142027674,2,3.616006423475717,1.5430369036347555,0-1-3,2.9449484378824695,3.9657936778774925,2,3.6459981078626047,1.5601978377614154,1-3,2.444684024781388,4.158951830422712,2,3.8285170012908036,1.6246039205306941
304,209.25245237139598,-175.74482065382634,-33.806666666666665,3.2497946383382086,3.931405913952335,2,3.6197986562376423,1.5339524596804015,0-1-3,2.944580661932977,3.9664388340693915,2,3.650471105538997,1.551353516139583,1-3,2.443545566143057,4.161235735461354,2,3.8346787302544207,1.6158966185418353
306,208.0344418537486,-175.272530576326,-34.0,3.250015346561991,3.930883385409978,2,3.6231513953964085,1.5246698513872656,0-1-3,2.944440319259858,3.9666308196938815,2,3.654509820262038,1.5423093183125374,1-3,2.442630554370788,4.163053619875387,2,3.840396358502382,1.606975809263849
308,206.7923128237889,-174.86146212478155,-34.19333333333333,3.250467570042991,3.92990364820605,2,3.626055040982446,1.5152120392700867,0-1-3,2.944528202240744,3.96636793245733,2,3.658102936096909,1.5330875658438465,1-3,2.4419414740989667,4.164399632851246,2,3.8456542822513247,1.5978633995099936
310,205.52914542676717,-174.5128473373415,-34.38666666666667,3.2511509360681883,3.928467710197554,2,3.6285010377763367,1.5056024604525788,0-1-3,2.944844751978499,3.9656493240531097,2,3.661240111392293,1.5237110645050242,1-3,2.4414804935127616,4.1652687359024245,2,3.8504378154873447,1.5885818428243574
312,204.24808275489036,-174.22776313729048,-34.58,3.2520646855588806,3.926577496986064,2,3.630481899762615,1.4958649722930801,0-1-3,2.9453900556213344,3.9644750063996157,2,3.663912007483994,1.5142030503805761,1-3,2.441249459892182,4.16565671882085,2,3.854733228973331,1.579154087638737
314,202.95232302829027,-174.00712811679657,-34.77333333333333,3.253207670711378,3.9242358533697344,2,3.631991232546517,1.4860237950913573,0-1-3,2.9461638428723846,3.962845858195375,2,3.6661103159988566,1.5045871349785633,1-3,2.441249894093917,4.165560216679438,2,3.8585277886932503,1.5696035240354256
316,201.645111611668,-173.85169971517928,-34.96666666666667,3.2545783520642457,3.9214465445220497,2,3.633023753664494,1.4761034539806055,0-1-3,2.9471654816888764,3.960763631772802,2,3.66782778470473,1.494887249434576,1-3,2.4414829839630787,4.1649767278491945,2,3.8618097936570694,1.5599539291721811
318,200.32973288653915,-173.76207180009186,-35.16,3.256174795001474,3.9182142568846077,2,3.6335753107494275,1.4661287201218045,0-1-3,2.948393973178617,3.958230960218542,2,3.6690582418506437,1.4851275878995933,1-3,2.441949576659228,4.163904633008129,2,3.864568613012621,1.550229411443439
320,199.00950199943412,-173.73867265900532,-35.35333333333333,3.257994665720076,3.914544598727914,2,3.6336428974928423,1.4561245513106724,0-1-3,2.9498479457153675,3.955251364702444,2,3.669796618928391,1.475332550200901,1-3,2.442650169908192,4.162343215060856,2,3.866794722366376,1.5404543534433888
322,197.68775650678444,-173.7817634073517,-35.54666666666667,3.260035226695695,3.9104441003288626,2,3.633224667353618,1.4461160321115318,0-1-3,2.951525648300424,3.951829261948108,2,3.670038971789207,1.4655266838709389,1-3,2.443584902185645,4.160292679897692,2,3.868479739234058,1.5306533538152631
324,196.36784793755294,-173.89143681863627,-35.739999999999995,3.2622933316863385,3.90592021370585,2,3.6323199449676644,1.4361283136356786,0-1-3,2.9534249432093898,3.947969971757556,2,3.669782500041284,1.4557346256409853,1-3,2.444753541861819,4.1577541778725,2,3.86961645750588,1.520851168068681
326,195.05313329493686,-174.06761658076263,-35.93333333333334,3.264765420325669,3.9009813118361647,2,3.630929235210054,1.426186553082006,0-1-3,2.955543297972107,3.943679724488377,2,3.6690255646515992,1.4459810425015032,1-3,2.4461554753415653,4.154729825868145,2,3.870198880811359,1.5110726484603096
328,193.7469665186927,-174.310056981736,-36.126666666666665,3.2674475123681423,3.895636687265493,2,3.6290542298594097,1.416315853158606,0-1-3,2.957877776743972,3.938965668365898,2,3.6677677036717378,1.4362905724357278,1-3,2.4477896942472266,4.151222729791846,2,3.870222254653896,1.5013426830414776
330,192.45268992979504,-174.61834302681987,-36.32,3.2703352016622484,3.8898965499994262,2,3.6266978118077655,1.4065412015032488,0-1-3,2.9604250311408604,3.9338358764906562,2,3.666009645997562,1.426687764935916,1-3,2.449654781708909,4.1472370073090845,2,3.869683097163944,1.491686133983177
332,191.1736256792504,-174.99189098812124,-36.513333333333335,3.273423649923541,3.883772024583966,2,3.6238640567869997,1.3968874102333035,0-1-3,2.9631812906204424,3.928299353387391,2,3.6637533230702424,1.4171970214178222,1-3,2.4517488978349595,4.142777810611272,2,3.8685792283170284,1.4821277753038542
334,189.91306722294095,-175.4299493864768,-36.70666666666666,3.276707580407204,3.8772751462363018,2,3.6205582325521384,1.3873790557452823,0-1-3,2.9661423525009454,3.9223660409331647,2,3.6610018784288845,1.4078425356572677,1-3,2.4540697644550318,4.137851348976845,2,3.866909797439768,1.472692230132905
336,188.67427084436906,-175.9316004044039,-36.9,3.2801812715894467,3.8704188558788184,2,3.616786795465634,1.3780404188875344,0-1-3,2.969303571732457,3.9160468234643346,2,3.6577596750002286,1.3986482343703606,1-3,2.456614649244394,4.132464910858876,2,3.8646753088122128,1.4634039076540322
338,187.46044724711555,-176.49576172777284,-37.093333333333334,3.2838385509557604,3.8632169939620637,2,3.612557384468703,1.368895425647237,0-1-3,2.9726598505323913,3.909353531879468,2,3.6540323000375077,1.3896377180765762,1-3,2.45938034935068,4.126626885215482,2,3.861877645168998,1.454286939887445
340,186.27475323870942,-177.12118881275336,-37.28666666666667,3.2876727890420936,3.8556842928813593,2,3.6078788123612386,1.3599675884692575,0-1-3,2.976205628028851,3.9022989465045175,2,3.6498265675833514,1.380834202376592,1-3,2.4623631746668395,4.120346781764054,2,3.858520088878708,1.445365118477972
342,185.12028352743562,-177.80647757348788,-37.48,3.291676893858853,3.847836367836113,2,3.6027610543639157,1.3512799483455744,0-1-3,2.979934870057739,3.8948967984961924,2,3.6451505183504502,1.3722604597908281,1-3,2.4655589309089843,4.113635249823484,2,3.8546073405746455,1.4366618316703408
344,184.00006265338078,-178.55006748485536,-37.67333333333333,3.2958433058442154,3.839689705962709,2,3.5972152339294023,1.3428550178117644,0-1-3,2.983841059275732,3.8871617695428458,2,3.6400134169076743,1.3639387623084782,1-3,2.4689629026817856,4.106504095375619,2,3.8501455349887177,1.4282000016605392
346,182.91703707473513,-179.35024509360883,-37.86666666666667,3.3001639935224807,3.831261653530272,2,3.5912536057403686,1.3347147249762095,0-1-3,2.987917185776038,3.8791094895906704,2,3.6344257460388865,1.3558908247945605,1-3,2.472569836726685,4.098966295970531,2,3.8451422537429165,1.420002022527861
348,181.87406743003172,-180.20514793010662,-38.06,3.3046304500268504,3.8225704010356276,2,3.5848895358850026,1.3268803587271494,0-1-3,2.9921557383895783,3.870756532349522,2,3.628399198174899,1.3481377494196367,1-3,2.4763739255751176,4.091036013066692,2,3.8396065348299206,1.4120896989568268
350,180.8739209966144,-181.11276881180694,-38.25333333333333,3.309233690685398,3.8136349659741264,2,3.5781374791531135,1.3193725152436204,0-1-3,2.996548696891061,3.8621204082806195,2,3.621946663758066,1.340699971264814,1-3,2.48036879184738,4.082728601384239,2,3.833548878510198,1.4044841859679675
