k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
280,13.940220965809537,-15.482183864112386,-8.25,2.8009351965572926,4.9293229623387225,2,4.928712100459663,0.0776008880252073,0-1-3,2.396608369311853,5.225399156846819,2,5.224569332972698,0.09312160510147552,1-3,1.7178597488182672,5.9905663172094545,2,5.989839647631339,0.09330485811644992
290,19.793484915589676,-8.812627266642352,-8.5,2.7825110533007305,4.974931159189896,2,4.973586123399887,0.11567675567116685,0-1-3,2.381529979488864,5.264933822181373,2,5.263240566130256,0.13351739583370223,1-3,1.7084056577784827,6.018944425840244,2,6.01743000411596,0.13501165475003477
300,22.5,-2.549492503941591e-14,-8.75,2.756398505153905,5.040302049961841,2,5.03850201428513,0.13469300981949384,0-1-3,2.3568706805111486,5.33024252085288,2,5.328032845482893,0.15346442116506698,1-3,1.6860844092511968,6.08649039482536,2,6.08447239142461,0.15671963595243418
310,21.316060678327357,9.49052167176866,-9.0,2.7272027372618526,5.114410782048811,2,5.112850812846795,0.12630998816005087,0-1-3,2.326939085476984,5.410606065972529,2,5.408671080684255,0.14468981342355006,1-3,1.654728876232237,6.182659397257573,2,6.180908371287978,0.14713574766032775
320,16.170656320339088,17.959333282370345,-9.25,2.69996993306835,5.184516890106108,2,5.183711480726762,0.09138199153592383,0-1-3,2.2968213470850225,5.4926911535112195,2,5.49163156115676,0.10788375395478844,1-3,1.619510891608325,6.292487050948004,2,6.291560775936664,0.10796429522560391
330,7.725424859373714,23.77641290737883,-9.5,2.679306903016982,5.238345275805208,2,5.23809405418736,0.05130212508041291,0-1-3,2.2714670565720136,5.56275389677536,2,5.562408759654788,0.06196536617433669,1-3,1.585970314096239,6.39889387982149,2,6.398502540147829,0.07076813505163539
340,-2.7003186344143657,25.69181563034706,-9.75,2.6688095899848125,5.265893960466264,2,5.265202435011258,0.085337689367591,0-1-3,2.255085396412725,5.608487935410869,2,5.6078360561455725,0.085508415041708,0-1,1.564498384369264,6.467621639393933,2,6.466519757937362,0.11938128229493021
350,-13.33333333333331,23.094010767585043,-10.0,2.670727290845967,5.2608234340678734,2,5.258395848993097,0.1598008126695665,0-1-3,2.2507778988931326,5.620557941942631,2,5.618224493066875,0.16194173099556763,0-1,1.5706478036730296,6.447727551626844,2,6.4443443271295315,0.2088462913276711
360,-22.24796734531105,16.164094438043016,-10.25,2.6857136779330375,5.221520140522817,2,5.216584313235701,0.22698167500622812,0-1-3,2.2602329130593306,5.594020880711418,2,5.589151172155596,0.23336406884323938,0-1,1.588998560922131,6.388789115335524,2,6.382226268967738,0.28950684262694926
370,-27.71418202079115,5.890831239836557,-10.5,2.71256068301842,5.151860778437798,2,5.14483368999795,0.2689903021816826,0-1-3,2.2833415272150646,5.529723154804474,2,5.522706002028214,0.2784898273587031,0-1,1.6178565638345581,6.297208616676102,2,6.288028397905014,0.3399047353007006
380,-28.529305021402667,-6.064090982184619,-10.75,2.7479348483866928,5.061498766326874,2,5.0540039757576976,0.27534264935504277,0-1-3,2.317727599305398,5.435423470511687,2,5.427926559059396,0.2853797001311175,0-1,1.6535607436667676,6.185721405205122,2,6.1759540615971575,0.34747767101556326
390,-24.27050983124843,-17.633557568774183,-11.0,2.786311108895025,4.965259660527246,2,4.959330081610999,0.24258738237463795,0-1-3,2.35840000107642,5.325961961455027,2,5.320082704652896,0.2501815950844646,0-1,1.6903810983789742,6.072812937551549,2,6.064990696387017,0.308131185102054
400,-15.416666666666707,-26.702449950020164,-11.25,2.820462976631767,4.881150134096706,2,4.877997735472319,0.17539875803215,0-1-3,2.397974038217005,5.221572146043349,2,5.218521022209082,0.17847693715894106,0-1,1.7210333451571427,5.980382212692718,2,5.976054239010272,0.22747998219362012
410,-3.3100680034757253,-31.49319335332865,-11.5,2.8428391742301606,4.8268067622800865,2,4.8259818234380205,0.08923542031397655,0-1-3,2.427950965390031,5.143857325407518,2,5.143082020995069,0.08930570791306713,0-1,1.7382017909051788,5.92920709254516,2,5.927908857984586,0.12406980984793632
420,10.043052317185778,-30.909336779592497,-11.75,2.8477035792609655,4.815054124717345,2,4.814705008768073,0.05798191529379208,0-1-3,2.441063280081325,5.110217796382756,2,5.109723787545256,0.07105449641780338,1-3,1.7587215887820429,5.8691434607200295,2,5.868666264941847,0.07484138725455851
430,22.304353545295232,-24.771494182579843,-12.0,2.833157078153956,4.850187206757324,2,4.8483547630607235,0.13331178529599405,0-1-3,2.4337540441327543,5.128912592107931,2,5.126659898117384,0.15199561348391544,1-3,1.7637086258025971,5.8545119341442,2,5.852457499054806,0.1550845214520941
440,31.21280313612218,-13.896835305089873,-12.25,2.8018543039361705,4.926690917930797,2,4.9227043965881805,0.19815353802844865,0-1-3,2.407355539909779,5.197053173475919,2,5.192408566620192,0.21967012820445747,1-3,1.7454941135662296,5.908067073731175,2,5.9035877377639085,0.23001819543256702
450,35.0,-7.931754456707171e-14,-12.5,2.7599900722508712,5.030904334140305,2,5.025814135250946,0.22625361253137113,0-1-3,2.367308954501536,5.302163714480841,2,5.296316604446452,0.24893870856512432,1-3,1.7083112590336098,6.018931770342513,2,6.013197817945552,0.2626626320840182
460,32.735378898859885,14.574729710216117,-12.75,2.7153087202816586,5.144564285052759,2,5.140299075081869,0.20944474630051818,0-1-3,2.321158477036005,5.425935247908743,2,5.420994696854373,0.23149473250007827,1-3,1.6594089992717975,6.167913968413418,2,6.163114257343725,0.24328044038898747
