t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
30.23,219.21334838867188,-194.28517150878906,-5.754234790802002,218.88460041931853,-194.37431811606078,-5.758195366207717,0.3406435543196863,0.5924301076769077,0.13390990361215246,3.571355397804385e-05,14.557719329117525,26.76904687610285,nan,nan,True,False,True,True
30.240000000000002,219.2100372314453,-194.2764892578125,-5.75537109375,218.88126353061017,-194.36561127245594,-5.7593333395246304,0.34066197211681765,0.5924732405157591,0.13393432406533323,3.501626406867206e-05,14.511600300759804,27.501210469356177,nan,nan,True,False,True,True
30.25,219.20677185058594,-194.26780700683594,-5.7564849853515625,218.86932730209418,-194.35079522740085,-5.760517898091847,0.3475228516867767,0.5924123085261881,0.1339244753496471,3.570046078867319e-05,14.27016946544001,27.18506223832322,nan,nan,True,False,True,True
30.26,219.2035369873047,-194.2591094970703,-5.7575764656066895,218.86603914542022,-194.34207652107105,-5.7624400251826255,0.3475801699751623,0.5924552678196116,0.1339488728083459,3.5003663989758924e-05,14.438140187732278,26.97532104651718,nan,nan,True,False,True,True
30.27,219.20037841796875,-194.25042724609375,-5.758646488189697,218.86280491454374,-194.33335750418277,-5.763638850677126,0.3476466907717516,0.5924983121734453,0.13397333497914743,3.5709395935016875e-05,14.407884286095832,27.24803535888259,nan,nan,True,False,True,True
30.28,219.197265625,-194.2417449951172,-5.759694576263428,218.85963208570814,-194.32463621433217,-5.762221280272211,0.3476690168980279,0.5925414417263342,0.13399786200368474,3.5012247462052195e-05,13.839390823288912,26.954987604701657,nan,nan,True,False,True,True
30.29,219.19422912597656,-194.23306274414062,-5.7607221603393555,218.8565149845523,-194.31591793875398,-5.763353880313496,0.3477394866022159,0.5925846566286008,0.13402245402921456,3.571832234596791e-05,13.799202496090468,26.546917045410378,nan,nan,True,False,True,True
30.3,219.1912384033203,-194.22438049316406,-5.7617292404174805,218.85622324750005,-194.30949845459455,-5.763013045166563,0.34566149647015515,0.5925237326766306,0.13401249306619,3.499961695860002e-05,13.739854383074269,26.636631124765124,nan,nan,True,False,True,True
30.310000000000002,219.1883087158203,-194.2156982421875,-5.762716293334961,218.85322777608334,-194.30078653081418,-5.764093290198756,0.3457183089695858,0.592566773744441,0.13403706135716714,3.5705158487246545e-05,13.693985143700132,26.549033701043363,nan,nan,True,False,True,True
30.32,219.18544006347656,-194.20701599121094,-5.763683795928955,218.85029171966247,-194.29207430592453,-5.7645479497145,0.3457746029207669,0.5926098999442766,0.13406169469891369,3.5008153207420804e-05,13.61066183731385,26.379512323547214,nan,nan,True,False,True,True
30.330000000000002,219.1826171875,-194.19833374023438,-5.764631748199463,218.84741248030682,-194.28336283347707,-5.7655846602273115,0.3458222816179963,0.5926531114263017,0.1340863932382612,3.571403968008697e-05,13.562774509415283,26.594616821284827,nan,nan,True,False,True,True
30.34,219.17987060546875,-194.18963623046875,-5.765560626983643,218.844589601518,-194.2746515110452,-5.766692450680665,0.3458933803451415,0.5926964083293946,0.13411115711747149,3.501668169625222e-05,13.524856543687973,25.41473588593977,nan,nan,True,False,True,True
30.35,219.1771697998047,-194.1809539794922,-5.7664713859558105,218.82418188331079,-194.25142793041084,-5.767873956032537,0.3599569615268064,0.5926354915013846,0.13410108095200257,3.570084582834831e-05,12.865198666022044,26.477377459709167,nan,nan,True,False,True,True
30.36,219.1745147705078,-194.17227172851562,-5.767364025115967,218.82145276172682,-194.24268055824456,-5.7676158912340005,0.36001423414194433,0.5926786142755732,0.13412582034195095,3.500398562309273e-05,12.760369651778484,26.541500268781007,nan,nan,True,False,True,True
30.37,219.1719207763672,-194.16358947753906,-5.768238544464111,218.81877526398398,-194.2339341325905,-5.768574566800503,0.36008365183900415,0.5927218222639551,0.13415062512262982,3.5709679728891845e-05,12.71074990438871,26.342404513493413,nan,nan,True,False,True,True
30.38,219.16937255859375,-194.1549072265625,-5.7690958976745605,218.8161488572501,-194.22518834266285,-5.770303544398329,0.36014979783670414,0.5927651156055936,0.1341754954366652,3.50124726267131e-05,12.698136074214256,26.43851590048387,nan,nan,True,False,True,True
30.39,219.16688537597656,-194.14622497558594,-5.769935607910156,218.81357468074046,-194.21644207644138,-5.771237161824557,0.36022296243209534,0.592808494450379,0.13420043143035,3.571850671978308e-05,12.653507701434926,26.19833903145903,nan,nan,True,False,True,True
30.400000000000002,219.16444396972656,-194.13754272460938,-5.770759105682373,218.81887852336436,-194.21381599178633,-5.773116293174226,0.35389072513733205,0.5927475837945398,0.13419023710012126,3.499975015745422e-05,12.993993513836875,26.255578685014406,nan,nan,True,False,True,True
30.41,219.16204833984375,-194.1288604736328,-5.771565914154053,218.8164126908741,-194.20508426103785,-5.774027865345743,0.3539493308493584,0.592790788210473,0.13421514783506938,3.5705248382268086e-05,12.954646754191725,26.29139445999109,nan,nan,True,False,True,True
30.42,219.15969848632812,-194.12017822265625,-5.772356986999512,218.8139960560012,-194.19635193852602,-5.774298802128455,0.35400053102975015,0.5928340779110663,0.13424012429335366,3.5008194285078295e-05,12.842284597832759,26.225745869932954,nan,nan,True,False,True,True
30.43,219.1573944091797,-194.1114959716797,-5.773131847381592,218.81162596888745,-194.1876198857458,-5.775174025476291,0.35405484756777006,0.5928774530460025,0.13426516662095822,3.571403500451006e-05,12.801120007190404,26.220959914178632,nan,nan,True,False,True,True
30.44,219.15513610839844,-194.10281372070312,-5.773891448974609,218.80930183992714,-194.17888776660564,-5.776309362928286,0.3541107849486371,0.5929209137546518,0.1342902749609664,3.5016633189177615e-05,12.801200513838214,26.230115789828442,nan,nan,True,False,True,True
30.45,219.15292358398438,-194.09413146972656,-5.774636268615723,218.81701230145015,-194.17273725938554,-5.777061205948884,0.34499440607460646,0.5928600083043227,0.13427995950637658,3.570075238386924e-05,12.55007912482431,26.07110229057696,nan,nan,True,False,True,True
30.46,219.15077209472656,-194.08544921875,-5.775365829467773,218.81480101430358,-194.16400461657818,-5.77644125771345,0.3450343083730074,0.5929032942789731,0.13430504180404787,3.5003853285173486e-05,12.369422110282029,25.554509294400045,nan,nan,True,False,True,True
30.47,219.1486358642578,-194.07676696777344,-5.77608060836792,218.8126314694834,-194.15527292794934,-5.777245949160046,0.345055788402436,0.5929466656183646,0.1343301901572512,3.570949763203777e-05,12.3242076446687,26.1209452195044,nan,nan,True,False,True,True
30.48,219.1465606689453,-194.0680694580078,-5.7767815589904785,218.81050733457897,-194.14654003747285,-5.776070759062314,0.3450941619570686,0.592990122462091,0.13435540470932936,3.501225660974101e-05,12.253048666745602,24.895809584801427,nan,nan,True,False,True,True
30.490000000000002,219.14453125,-194.05938720703125,-5.777468204498291,218.8084225983362,-194.1378081623473,-5.776829561462948,0.345136610374606,0.5930336649595032,0.13438068560588215,3.571823918613298e-05,12.201257026778093,25.539656274513163,nan,nan,True,False,True,True
30.5,219.1425323486328,-194.0507049560547,-5.778141498565674,218.78014255281008,-194.1126038055961,-5.777329996804878,0.36763907603259965,0.5929727637132475,0.13437024606494094,3.4999456796990304e-05,11.796307099393232,25.897194057556018,nan,nan,True,False,True,True
30.51,219.14056396484375,-194.04202270507812,-5.778801441192627,218.77810239699676,-194.10383708818262,-5.778061012766932,0.3676954641533426,0.5930161311661942,0.13439550012142462,3.5704902144151546e-05,11.74342359225367,26.051637097293302,nan,nan,True,False,True,True
30.52,219.13865661621094,-194.03334045410156,-5.77944803237915,218.7761023685515,-194.09506996685718,-5.778217070829781,0.3677738850262194,0.5930595840533139,0.1344208205597706,3.500782384610013e-05,11.723145451841793,25.599235721655862,nan,nan,True,False,True,True
30.53,219.1367645263672,-194.024658203125,-5.780081748962402,218.77414013312466,-194.08630305302862,-5.778918265681098,0.3678286174123703,0.593103122523722,0.13444620752536338,3.571361034755147e-05,11.668633349336194,26.03253755316878,nan,nan,True,False,True,True
30.54,219.13491821289062,-194.01597595214844,-5.780702590942383,218.77221386248607,-194.0775366562791,-5.781035186764487,0.3678916643734072,0.5931467467173621,0.1344716611618651,3.501618912375632e-05,11.585306105886696,25.800061480904603,nan,nan,True,False,True,True
30.55,219.13311767578125,-194.0072784423828,-5.78131103515625,218.76547379921115,-194.06014453642683,-5.781818490791441,0.37142576834434,0.5930858486601976,0.13446109457696914,3.5700256433653e-05,10.961826146474367,24.965074095801413,nan,nan,True,False,True,True
30.560000000000002,219.13134765625,-193.99859619140625,-5.781907558441162,218.7636262881987,-194.05135214230236,-5.782328065347392,0.37148670461071026,0.5931292974939213,0.13448652056207663,3.500334250630429e-05,10.911540643914725,25.820827255205373,nan,nan,True,False,True,True
30.57,219.12950134277344,-193.9899139404297,-5.782596588134766,218.7617571144326,-194.04255975675645,-5.783050109677652,0.3714937484487321,0.5931728318397481,0.1345120132537667,3.5708930713331766e-05,10.861828670791231,25.727488564214774,nan,nan,True,False,True,True
30.580000000000002,219.12757873535156,-193.98123168945312,-5.783376216888428,218.75980957791813,-194.0337672088312,-5.783783708733092,0.37150275908157276,0.5932164518378642,0.13453757279587786,3.501167944239988e-05,10.810698847792645,25.688228833154017,nan,nan,True,False,True,True
30.59,219.1255645751953,-193.97254943847656,-5.784246444702148,218.75778449000245,-194.02497445058475,-5.78468923222918,0.3714980067507857,0.5932601576370241,0.13456319933353297,3.571760509929935e-05,10.76089324097348,25.951081564714183,nan,nan,True,False,True,True
30.6,219.1234893798828,-193.96385192871094,-5.785205364227295,218.7525159393226,-194.01269642582298,-5.783705036606913,0.3741782055146776,0.5931992617226879,0.1345525027489204,3.499882035332698e-05,10.615097087488676,24.99705814522541,nan,nan,True,False,True,True
30.61,219.121337890625,-193.95516967773438,-5.786252498626709,218.7503370690608,-194.00389426262615,-5.784771674652935,0.3741896412433466,0.5932427918413538,0.13457810081035232,3.570420834558868e-05,10.562736852270966,25.77924585502311,nan,nan,True,False,True,True
30.62,219.1190948486328,-193.9464874267578,-5.787386894226074,218.74808307968993,-193.99509224567407,-5.786190061841643,0.3741839033466869,0.5932864075405856,0.13460376589826595,3.500712843745702e-05,10.492259287659522,26.079735301382012,nan,nan,True,False,True,True
30.63,219.11679077148438,-193.93780517578125,-5.788607120513916,218.74575539723008,-193.98629011300127,-5.787435564878066,0.37419167632091865,0.5933301089688922,0.13462949815764186,3.571285713280021e-05,10.44059410940129,25.801103920839243,nan,nan,True,False,True,True
30.64,219.1144256591797,-193.92910766601562,-5.789912700653076,218.74335455967704,-193.97748800077073,-5.788767652249816,0.37421348026622814,0.5933738962687705,0.13465529773274082,3.6432898373162224e-05,10.391115978540686,24.72210275677921,nan,nan,True,False,True,True
30.650000000000002,219.11196899414062,-193.92042541503906,-5.79130220413208,218.75184519074818,-193.97120496078216,-5.790117760200947,0.3636882166679838,0.5933130014386132,0.13464446819904488,3.7143545051475985e-05,10.119815691362785,25.845664071249164,nan,nan,True,False,True,True
30.66,219.1094512939453,-193.9117431640625,-5.792746067047119,218.74932528462674,-193.9624026088169,-5.7902010882365476,0.3636806275397317,0.5933566127305496,0.13467023845982276,3.636083685126366e-05,10.2118301422069,25.734836356301223,nan,nan,True,False,True,True
30.67,219.1068572998047,-193.90306091308594,-5.79420280456543,218.74673310667538,-193.9536008561837,-5.79170822820122,0.3636618528751641,0.5934003096789651,0.13469607606458575,3.709304109369195e-05,10.153106564022748,25.792849732995027,nan,nan,True,False,True,True
30.68,219.1042022705078,-193.8943634033203,-5.795650959014893,218.74406785942102,-193.94480001486718,-5.796055726126523,0.36364929488392195,0.593444092424365,0.13472198115746722,3.6313058290586316e-05,9.943444756708557,24.630118031434503,nan,nan,True,False,True,True
30.69,219.10147094726562,-193.88568115234375,-5.797080993652344,218.74133680446667,-193.9359983208317,-5.797582032884197,0.3636326020786551,0.5934879611151731,0.1347479538833077,3.7043964316732813e-05,9.897859450736066,25.508816253165953,nan,nan,True,False,True,True
30.7,219.0986785888672,-193.8769989013672,-5.798487663269043,218.75592278161358,-193.92997661997651,-5.799858630779463,0.34682857671627576,0.593427066282657,0.1347369884567288,3.624402535199993e-05,9.43322106960582,25.356652927475565,nan,0.20314152873849056,True,False,True,True
30.71,219.0958251953125,-193.86831665039062,-5.799869060516357,218.75309403657346,-193.92117192433048,-5.80134952448307,0.34678598432955776,0.5934707586373421,0.13476293101771913,3.697278669586883e-05,9.393999433438136,25.133413723465665,nan,nan,True,False,True,True
30.72,219.0928955078125,-193.85963439941406,-5.801224231719971,218.7501983126084,-193.91236765686062,-5.803001236968173,0.3467352329794762,0.5935145367157547,0.13478894123603333,3.619908470716466e-05,9.375169709844435,25.295199484294145,nan,nan,True,False,True,True
30.73,219.0898895263672,-193.85093688964844,-5.802553176879883,218.74723678851913,-193.9035636589313,-5.804443736694559,0.34667571275809306,0.5935584006660347,0.13481501925641848,3.6926695340700605e-05,9.33907438124868,24.64506632095995,nan,nan,True,False,True,True
