t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
73.12,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6318484485402689,0.5126000000000537,low_power,0.23059581929182563,0.00011712744954343177,0.2713764705882637,0.13482930076260313
73.13,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6319619983347373,0.512533333333387,low_power,0.23056870790404255,0.00011715540034605058,0.2713411764706167,0.134840511875146
73.14,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6320785351563977,0.5124666666667204,low_power,0.23054157803134648,0.0001169777046915045,0.2713058823529696,0.13485174378501674
73.15,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6377928142821372,0.5124000000000537,low_power,0.23051037871871694,0.00011699083150140548,0.2712705882353226,0.13482209047308724
73.16,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6379305199540877,0.512333333333387,low_power,0.23048326243452444,0.000117004048051588,0.2712352941176755,0.1348332673557886
73.17,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6380718266811146,0.5122666666667204,low_power,0.23045614923731889,0.00011702352943798692,0.2712000000000284,0.13484446884352352
73.18,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6382123899859256,0.5122000000000537,low_power,0.23042905699867847,0.00011722661354663065,0.2711647058823814,0.1348556963141867
73.19,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6384163522659481,0.5121333333333871,low_power,0.23040194829169638,0.00011723819715355767,0.2711294117647343,0.13486695060193554
73.2,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6178179785673621,0.5120666666667204,low_power,0.23037119133610373,0.00011761465165397102,0.2710941176470873,0.13484135753268478
73.21000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6179525623864135,0.5120000000000537,low_power,0.2303440801984569,0.00011763536606143886,0.2710588235294402,0.1348525783829857
73.22,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6181467833302368,0.5119333333333871,low_power,0.2303170009067547,0.00011794766010845424,0.27102352941179314,0.13486382611309333
73.23,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6182820432839926,0.5118666666667204,low_power,0.23028989502406913,0.00011796693776635085,0.2709882352941461,0.13487510094975586
73.24,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6184183108737464,0.5118000000000538,low_power,0.23026279606929034,0.00011802859568110038,0.27095294117649904,0.1348864026852299
73.25,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5997559661305288,0.5117333333333871,low_power,0.23023198644500956,0.000118027197139922,0.270917647058852,0.13486066078213965
