k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
360,2-3,53170235.84698811,-33.52029967230437,2,0-1-3,10.240629904764313,-1.3265629477321745,3
365,0-1,67347238.65194973,-33.97682258074355,2,0-1-3,10.183377343873687,-1.3027469177320636,3
370,1-3,38430391.60491503,-32.12838433176311,2,0-1-3,10.12946143275152,-1.2791255687487082,3
375,,inf,-inf,0,0-1-3,10.079985833559947,-1.2561311435774662,3
380,1-3,38422442.46010823,-32.10037841809133,2,0-1-3,10.036035479719708,-1.2342114681258725,3
385,0-3,16748387.916509883,-31.836499760888362,2,0-1-3,9.998657917171398,-1.213822220669675,3
390,1-3,24293800.523503955,-31.15596445303007,2,0-1-3,9.968842288182731,-1.1954174007730538,3
395,0-3,13093782.56571781,-31.320133082789656,2,0-1-3,9.947496210107131,-1.1794381006803611,3
400,2-3,33382978.35534554,-32.48754789972058,2,0-1-3,9.935421039544373,-1.166299854163909,3
405,0-1,67431021.23971403,-33.89836316245264,2,0-1-3,9.933286279137794,-1.1563790295485994,3
410,2-3,23695655.144247375,-31.78760751793665,2,0-1-3,9.94160415814103,-1.1499989242019026,3
415,1-3,25589307.069594987,-31.204478756950323,2,0-1-3,9.960705668756557,-1.1474163797042518,3
420,1-3,44317094.06092372,-32.29608573802278,2,0-1-3,9.990719531032266,-1.1488098395388273,3
425,0-3,19502616.444817442,-32.062654412117304,2,0-1-3,10.031555649992864,-1.1542697861884523,3
430,0-3,18428379.45530715,-31.94508734004324,2,0-1-3,10.082894584116836,-1.1637924031574447,3
435,1-3,18613160.748626847,-30.55255902228201,2,0-1-3,10.144184339993654,-1.1772771063247753,3
440,1-2,47863723.81864067,-34.14809648584062,2,0-1-3,10.21464543946877,-1.1945282942658269,3
445,2-3,23453376.37007267,-31.779393495890243,2,0-1-3,10.293284692582022,-1.2152613134111174,3
450,1-3,44307543.07284751,-32.29746312266763,2,0-1-3,10.378917497463071,-1.2391122689071814,3
455,2-3,17875194.059586406,-31.2570556601707,2,0-1-3,10.470197843453702,-1.2656509873773292,3
460,2-3,12569233.58496493,-30.565301742299805,2,0-1-3,10.565654594304782,-1.2943961983051522,3
465,1-3,22155815.14795616,-30.938704686344245,2,0-1-3,10.663732150055097,-1.3248318753436221,3
470,1-3,44313199.16940027,-32.33717448066173,2,0-1-3,10.762833289934225,-1.3564236758762318,3
475,2-3,11851316.346773133,-30.490945315436534,2,0-1-3,10.861361917930404,-1.3886345244453273,3
480,0-3,12762418.085966943,-31.269794663194393,2,0-1-3,10.957763569105381,-1.4209385755063058,3
485,1-3,19818921.18293256,-30.769931732830766,2,0-1-3,11.050561858452324,-1.4528330273667382,3
490,0-3,10416362.309604932,-30.89344415265012,2,0-1-3,11.138389512053532,-1.4838475059916094,3
495,2-3,13822963.367617862,-30.859468809306122,2,0-1-3,11.220013145964343,-1.5135509640722136,3
500,2-3,103390332.34390306,-34.897890847610576,2,0-1-3,11.294351485750433,-1.5415562266827125,3
505,2-3,11929131.627577806,-30.592017627644356,2,0-1-3,11.360487192172775,-1.5675224494682274,3
510,0-3,18080946.701354675,-32.06219803526649,2,0-1-3,11.417672837347455,-1.591155837573706,3
515,1-3,25584100.17693199,-31.368963185940622,2,0-1-3,11.465331840101713,-1.6122090088443217,3
520,2-3,18193176.72101007,-31.46874529188116,2,0-1-3,11.503055317589904,-1.6304793827698134,3
525,0-3,15347860.62605559,-31.782050887385296,2,0-1-3,11.530595853833795,-1.6458069479376656,3
530,1-3,18613546.254876673,-30.768093566197358,2,0-1-3,11.547859145617197,-1.6580717157944482,3
535,2-3,29551630.05483621,-32.458512753940454,2,0-1-3,11.554894385805566,-1.6671911158473796,3
540,2-3,14449111.172126306,-31.030753001514174,2,0-1-3,11.551884107756546,-1.6731175336258661,3
545,0-2,24777080.84658011,-34.04272368773924,2,0-1-3,11.53913406209872,-1.6758361419673746,3
550,0-3,58170852.49213936,-34.50783021629163,2,0-1-3,11.517063544531062,-1.6753631308394978,3
555,1-3,31329999.915482223,-31.84228812747427,2,0-1-3,11.486196451133761,-1.6717444017539842,3
560,1-3,31330449.097120482,-31.84425701419404,2,0-1-3,11.447153211383151,-1.6650547593950655,3
565,0-3,10733024.87824908,-31.14730468741788,2,0-1-3,11.400643641386463,-1.655397604384416,3
570,2-3,15973748.737422418,-31.215001706472936,2,0-1-3,11.347460669373845,-1.6429051053917902,3
575,,inf,-inf,0,0-1-3,11.288474810151865,-1.6277388043753138,3
580,0-1,33808935.80586926,-32.7096614204347,2,0-1-3,11.224629201398304,-1.6100905837373016,3
585,0-3,16544062.94344881,-32.01513605249166,2,0-1-3,11.156934958758871,-1.5901838969351916,3
590,,inf,-inf,0,0-1-3,11.086466555812308,-1.5682751333589477,3
595,,inf,-inf,0,0-1-3,11.014356886531052,-1.5446549532148102,3
