t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
21.94,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8907341765168265,0.999939083333406,cruise,0.2637819479984035,4.550347164828567e-05,0.7499543125000545,0.1938645125628149
21.95,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9171865569684015,0.9999390555556282,cruise,0.26377874311155153,4.548660295367654e-05,0.7499542916667212,0.19384856155029162
21.96,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9175963300876009,0.9999390277778505,cruise,0.263780322176983,4.5490273257480655e-05,0.7499542708333878,0.19385647895168945
21.97,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9179450306178936,0.9999390000000727,cruise,0.26378190673807356,4.55004059336476e-05,0.7499542500000546,0.19386440767545177
21.98,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9183485060288146,0.999938972222295,cruise,0.2637834917312617,4.5506882792363395e-05,0.7499542291667213,0.19387234769924577
21.990000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9187524334719794,0.9999389444445173,cruise,0.2637850817874361,4.551890029445548e-05,0.7499542083333879,0.19388029918636251
22.0,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.93608119044452,0.9999389166667395,cruise,0.26378157976220906,4.5505189722545344e-05,0.7499541875000546,0.19386285458665709
22.01,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.936481194438898,0.9999388888889618,cruise,0.26378316126195955,4.551747995027876e-05,0.7499541666667213,0.19387076260984004
22.02,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9368785931090501,0.999938861111184,cruise,0.26378474444247435,4.552852587627447e-05,0.749954145833388,0.19387868214759896
22.03,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9372743679556192,0.9999388333334063,cruise,0.26378633113358685,4.5541968402351246e-05,0.7499541250000548,0.1938866132468462
22.04,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.937665511256729,0.9999388055556285,cruise,0.2637879172336195,4.554958617586569e-05,0.7499541041667214,0.19389455595257576
22.05,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.908424725826512,0.9999387777778508,cruise,0.2637828828545877,4.5575560235868076e-05,0.7499540833333881,0.1938693503722666
22.06,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9087795283226808,0.999938750000073,cruise,0.26378444520256217,4.5559009314211385e-05,0.7499540625000548,0.1938772347394433
22.07,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9091417242106488,0.9999387222222953,cruise,0.26378602478955615,4.557222341733424e-05,0.7499540416667214,0.19388513088915538
22.080000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9095011072552532,0.9999386944445176,cruise,0.26378760427474923,4.558055132284228e-05,0.7499540208333881,0.1938930387453569
22.09,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9098586583379038,0.9999386666667398,cruise,0.2637891855818854,4.558779392846221e-05,0.7499540000000549,0.1939009584245237
22.1,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8584366166008592,0.9999386388889621,cruise,0.26378330291932395,4.564913829196371e-05,0.7499539791667216,0.19387142300080762
22.11,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8587851021373376,0.9999386111111843,cruise,0.26378487002627354,4.565747209639232e-05,0.7499539583333883,0.19387926895104424
22.12,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.859068773069761,0.9999385833334066,cruise,0.26378644033414056,4.566751927682142e-05,0.7499539375000549,0.19388712662242846
22.13,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8593519051828363,0.9999385555556288,cruise,0.26378801113782974,4.5673823965977745e-05,0.7499539166667216,0.1938949961291513
22.14,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8596278723117821,0.9999385277778511,cruise,0.2637895837581395,4.567905065567303e-05,0.7499538958333883,0.19390287741397572
22.150000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8181363090435976,0.9999385000000733,cruise,0.26378410425273413,4.572374515958843e-05,0.749953875000055,0.19387539940068932
22.16,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8726099201446879,0.9999384722222956,cruise,0.2637856629933106,4.572534285982871e-05,0.7499538541667217,0.19388322035932082
22.17,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8728611412657815,0.9999384444445178,cruise,0.2630357199109545,4.576303741472269e-05,0.7499538333333884,0.19013344196115312
22.18,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8730409882409086,0.9999384166667401,cruise,0.2630371267803937,4.575531103222583e-05,0.7499538125000551,0.19014052687430527
22.19,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.8733485601567959,0.9999383888889624,cruise,0.2630385475821503,4.576771308231368e-05,0.7499537916667218,0.19014763112796307
22.2,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9061331815255862,0.9999383611111846,cruise,0.2630319591720545,4.575117336603347e-05,0.7499537708333884,0.190114761676775
22.21,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9064209055569044,0.9999383333334069,cruise,0.2630333736052978,4.5760309310028906e-05,0.7499537500000552,0.19012184225313133
22.22,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9066448086326683,0.9999383055556291,cruise,0.26303478991886226,4.576761246642333e-05,0.7499537291667219,0.1901289368130623
22.23,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.90692782360757,0.9999382777778514,cruise,0.26303621019879414,4.5777246751930275e-05,0.7499537083333885,0.19013604537700812
22.240000000000002,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9070227970311071,0.9999382500000736,cruise,0.2630376110300624,4.574612765187027e-05,0.7499536875000552,0.19014315858109965
22.25,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9727728627424715,0.9999382222222959,cruise,0.26303157901051544,4.57386302755644e-05,0.7499536666667219,0.19011304847680532
22.26,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9730542221073338,0.9999381944445181,cruise,0.2630329891848982,4.572867968367602e-05,0.7499536458333886,0.1901201554751989
22.27,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9733246955351604,0.9999381666667404,cruise,0.2630344117572517,4.573623272936811e-05,0.7499536250000554,0.19012728070435192
22.28,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9738074580106549,0.9999381388889627,cruise,0.2630358640220322,4.579349832152837e-05,0.749953604166722,0.19013443011427422
22.29,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.974134799474361,0.9999381111111849,cruise,0.26303729537433895,4.5807269302875054e-05,0.7499535833333887,0.19014158369835443
22.3,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9927465997318858,0.9999380833334072,cruise,0.2630305939129645,4.578437669057463e-05,0.7499535625000554,0.19010816487301319
22.31,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.9930986445302039,0.9999380555556294,cruise,0.2630320163280466,4.578929028792359e-05,0.749953541666722,0.19011529591443033
