t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
271.08,0.9490485929516228,1.4811671348799742,0.0,,nan,nan,nan,nan,uncertainty_gated
271.09000000000003,0.9493109471899914,1.4812752898631751,0.0,,nan,nan,nan,nan,uncertainty_gated
271.1,0.9347511200878795,1.4811303968122176,0.0,,nan,nan,nan,nan,uncertainty_gated
271.11,0.9349879257269809,1.4812380663768412,0.0,,nan,nan,nan,nan,uncertainty_gated
271.12,0.9352462308953381,1.4813459321675486,0.0,,nan,nan,nan,nan,uncertainty_gated
271.13,0.9355645307897821,1.4814539946178396,0.0,,nan,nan,nan,nan,uncertainty_gated
271.14,0.9358777460603293,1.4815606137666109,0.0,,nan,nan,nan,nan,uncertainty_gated
271.15,0.942979569522363,1.4814170543327057,0.0,,nan,nan,nan,nan,uncertainty_gated
271.16,0.9433027564789368,1.4815231972639782,0.0,,nan,nan,nan,nan,uncertainty_gated
271.17,0.9436132280435297,1.4816311331284469,0.0,,nan,nan,nan,nan,uncertainty_gated
271.18,0.9439357836065355,1.481737645990536,0.0,,nan,nan,nan,nan,uncertainty_gated
271.19,0.9442533538604502,1.4818459434536013,0.0,,nan,nan,nan,nan,uncertainty_gated
271.2,0.9381804583271601,1.4817005873537998,0.0,,nan,nan,nan,nan,uncertainty_gated
271.21,0.9384923662769891,1.4818083970489555,0.0,,nan,nan,nan,nan,uncertainty_gated
271.22,0.9388058509124456,1.4819148026256288,0.0,,nan,nan,nan,nan,uncertainty_gated
271.23,0.9391281002149122,1.4820229736459387,0.0,,nan,nan,nan,nan,uncertainty_gated
271.24,0.939425976621906,1.4821297491827592,0.0,,nan,nan,nan,nan,uncertainty_gated
271.25,0.9372206948548744,1.4819857863175891,0.0,,nan,nan,nan,nan,uncertainty_gated
271.26,0.9375338295325297,1.4820920836298792,0.0,,nan,nan,nan,nan,uncertainty_gated
271.27,0.9378563384863999,1.4822001285634616,0.0,,nan,nan,nan,nan,uncertainty_gated
271.28000000000003,0.9381548146710555,1.4823067949060802,0.0,,nan,nan,nan,nan,uncertainty_gated
271.29,0.938465714961295,1.4824152021445725,0.0,,nan,nan,nan,nan,uncertainty_gated
271.3,0.9717961984839577,1.4822694889137928,0.0,,nan,nan,nan,nan,uncertainty_gated
271.31,0.9721553023687729,1.4823774080794534,0.0,,nan,nan,nan,nan,uncertainty_gated
271.32,0.9725032756210877,1.4824839642810295,0.0,,nan,nan,nan,nan,uncertainty_gated
271.33,0.9728525387407756,1.482592245428176,0.0,,nan,nan,nan,nan,uncertainty_gated
271.34000000000003,0.9732056823635782,1.4826991707178216,0.0,,nan,nan,nan,nan,uncertainty_gated
271.35,0.9702808388483396,1.4825548120300278,0.0,,nan,nan,nan,nan,uncertainty_gated
271.36,0.9706262475295013,1.4826612571703814,0.0,,nan,nan,nan,nan,uncertainty_gated
271.37,0.9709728316357406,1.4827694124906907,0.0,,nan,nan,nan,nan,uncertainty_gated
271.38,0.9713159942949131,1.482876225813464,0.0,,nan,nan,nan,nan,uncertainty_gated
271.39,0.9716606836166587,1.4829847440248014,0.0,,nan,nan,nan,nan,uncertainty_gated
271.4,0.9645965399112364,1.4828386734091572,0.0,,nan,nan,nan,nan,uncertainty_gated
271.41,0.9649188294447817,1.482946703134288,0.0,,nan,nan,nan,nan,uncertainty_gated
271.42,0.9652301928289,1.483053403610253,0.0,,nan,nan,nan,nan,uncertainty_gated
271.43,0.9655519925734467,1.4831617958581214,0.0,,nan,nan,nan,nan,uncertainty_gated
271.44,0.9658711393194727,1.4832688646142171,0.0,,nan,nan,nan,nan,uncertainty_gated
271.45,0.9769346815213157,1.4831241171415765,0.0,,nan,nan,nan,nan,uncertainty_gated
271.46,0.9772773644631236,1.4832307039212453,0.0,,nan,nan,nan,nan,uncertainty_gated
271.47,0.9776138623341148,1.4833389703896072,0.0,,nan,nan,nan,nan,uncertainty_gated
271.48,0.9779421082408221,1.483445924573581,0.0,,nan,nan,nan,nan,uncertainty_gated
271.49,0.9782850579734607,1.4835545544117168,0.0,,nan,nan,nan,nan,uncertainty_gated
271.5,0.9848291894104345,1.4834081265464685,0.0,,nan,nan,nan,nan,uncertainty_gated
271.51,0.9851762291038645,1.4835162673909212,0.0,,nan,nan,nan,nan,uncertainty_gated
271.52,0.9855330704186214,1.4836231061977851,0.0,,nan,nan,nan,nan,uncertainty_gated
271.53000000000003,0.9858728371974679,1.4837316100042053,0.0,,nan,nan,nan,nan,uncertainty_gated
271.54,0.9862272095879014,1.4838388163595257,0.0,,nan,nan,nan,nan,uncertainty_gated
271.55,0.9917315232689347,1.4836936866272785,0.0,,nan,nan,nan,nan,uncertainty_gated
271.56,0.9920839805513146,1.4838004092842034,0.0,,nan,nan,nan,nan,uncertainty_gated
271.57,0.9924514751498328,1.483908787173444,0.0,,nan,nan,nan,nan,uncertainty_gated
271.58,0.9928192921718684,1.4840158765357199,0.0,,nan,nan,nan,nan,uncertainty_gated
271.59000000000003,0.9931860446304688,1.4841246181793357,0.0,,nan,nan,nan,nan,uncertainty_gated
271.6,0.9759518354963216,1.4839778336282266,0.0,,nan,nan,nan,nan,uncertainty_gated
271.61,0.9762790053930709,1.4840860856908615,0.0,,nan,nan,nan,nan,uncertainty_gated
271.62,0.9766223773842718,1.4841930573334035,0.0,,nan,nan,nan,nan,uncertainty_gated
271.63,0.9769675692869932,1.484301672708412,0.0,,nan,nan,nan,nan,uncertainty_gated
271.64,0.9772853176439587,1.4844090112498878,0.0,,nan,nan,nan,nan,uncertainty_gated
271.65,0.938521350113224,1.4842635053312048,0.0,,nan,nan,nan,nan,uncertainty_gated
271.66,0.9387545815461988,1.4843703585597663,0.0,,nan,nan,nan,nan,uncertainty_gated
271.67,0.9389766915904169,1.4844788477221114,0.0,,nan,nan,nan,nan,uncertainty_gated
271.68,0.9391820083865686,1.4845860670402062,0.0,,nan,nan,nan,nan,uncertainty_gated
271.69,0.9394047620524072,1.484694920260431,0.0,,nan,nan,nan,nan,uncertainty_gated
271.7,0.881445208410058,1.4845477800282199,0.0,,nan,nan,nan,nan,uncertainty_gated
271.71,0.8815578941073267,1.4846561430140872,0.0,,nan,nan,nan,nan,uncertainty_gated
271.72,0.8816711921477197,1.4847632424605,0.0,,nan,nan,nan,nan,uncertainty_gated
271.73,0.8817965900265703,1.4848719690331686,0.0,,nan,nan,nan,nan,uncertainty_gated
271.74,0.8819247685685679,1.484979434812666,0.0,,nan,nan,nan,nan,uncertainty_gated
271.75,0.8834958635521789,1.484833558388431,0.0,,nan,nan,nan,nan,uncertainty_gated
271.76,0.8836221848639926,1.4849405373465772,0.0,,nan,nan,nan,nan,uncertainty_gated
271.77,0.8837616772536455,1.4850491372793173,0.0,,nan,nan,nan,nan,uncertainty_gated
271.78000000000003,0.883893586172328,1.4851564817944702,0.0,,nan,nan,nan,nan,uncertainty_gated
271.79,0.8840243654202665,1.4852654460199748,0.0,,nan,nan,nan,nan,uncertainty_gated
271.8,0.8407148725852707,1.4851179515463635,0.0,,nan,nan,nan,nan,uncertainty_gated
271.81,0.8407790428662137,1.4852264248309586,0.0,,nan,nan,nan,nan,uncertainty_gated
271.82,0.8408494471124673,1.4853336475096104,0.0,,nan,nan,nan,nan,uncertainty_gated
271.83,0.840990288760762,1.4854424845916223,0.0,,nan,nan,nan,nan,uncertainty_gated
